CustomerKey,CustomerAlternateKey,FirstName,LastName,FullName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine,Phone,DateFirstPurchase,CommuteDistance,CountryName,StateName,PostalCode,City
18262,AW00018262,Evelyn,Rana,Evelyn Rana,3/28/68,S,F,evelyn12@adventure-works.com,60000,3,3,Bachelors,Professional,1,2,7214 Peachwillow,1 (11) 500 555-0187,4/22/08,5-10 Miles,Australia,New South Wales,1002,Sydney
20075,AW00020075,Aaron,Allen,Aaron Allen,5/18/57,S,M,aaron55@adventure-works.com,10000,2,1,High School,Manual,1,2,6695 Black Walnut Court,648-555-0141,6/4/06,1-2 Miles,Canada,British Columbia,V0,Sooke
11862,AW00011862,Olivia,Peterson,Olivia Peterson,9/15/65,S,F,olivia40@adventure-works.com,40000,4,2,High School,Skilled Manual,1,2,9212 Tupelo Drive,409-555-0135,11/17/07,2-5 Miles,United States,Washington,98201,Everett
20291,AW00020291,Alexis,Walker,Alexis Walker,11/3/79,S,F,alexis20@adventure-works.com,40000,0,0,High School,Skilled Manual,0,2,4464 Seal Way,371-555-0170,12/25/07,1-2 Miles,United States,California,94070,San Carlos
17262,AW00017262,Kristy,Martin,Kristy Martin,10/25/64,M,F,kristy0@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,4566 Bermad Drive,708-555-0182,12/1/07,2-5 Miles,United States,California,90706,Bellflower
21075,AW00021075,Manuel,Rana,Manuel Rana,6/9/69,M,M,manuel10@adventure-works.com,30000,1,1,Bachelors,Skilled Manual,1,2,Berliner Platz 64,1 (11) 500 555-0139,10/18/07,0-1 Miles,Germany,Saarland,66740,Saarlouis
25839,AW00025839,Connor,Powell,Connor Powell,9/6/42,M,M,connor5@adventure-works.com,60000,3,0,Graduate Degree,Management,1,2,6733 North Star Dr,323-555-0159,8/9/07,10+ Miles,United States,California,91910,Chula Vista
27586,AW00027586,Jenny,She,Jenny She,8/15/72,M,F,jenny25@adventure-works.com,60000,2,2,Bachelors,Professional,1,1,3829 Baltic Sea Ct.,1 (11) 500 555-0123,5/19/08,2-5 Miles,Australia,New South Wales,2450,Coffs Harbour
15380,AW00015380,Nathan,Robinson,Nathan Robinson,10/8/66,M,M,nathan52@adventure-works.com,100000,1,2,Partial College,Professional,1,3,8072 Chickpea Ct,689-555-0128,11/21/06,5-10 Miles,United States,Washington,98033,Kirkland
26657,AW00026657,Lucas,Hughes,Lucas Hughes,3/7/73,S,M,lucas59@adventure-works.com,90000,2,0,Bachelors,Professional,0,0,154 Kentucky Dr.,1 (11) 500 555-0135,1/10/07,0-1 Miles,Australia,Victoria,3429,Sunbury
15963,AW00015963,Madison,Smith,Madison Smith,8/6/65,S,F,madison0@adventure-works.com,90000,4,3,High School,Professional,0,2,3057 Rapallo Lane,764-555-0173,10/5/07,1-2 Miles,United States,Washington,98371,Puyallup
14429,AW00014429,Lacey,He,Lacey He,7/25/59,S,F,lacey31@adventure-works.com,130000,3,4,Partial College,Professional,0,3,342 Summerfield Dr.,1 (11) 500 555-0148,10/1/05,0-1 Miles,United Kingdom,England,SW8 4BG,London
21210,AW00021210,Colin,Luo,Colin Luo,4/3/69,S,M,colin29@adventure-works.com,80000,5,5,Bachelors,Professional,1,4,3281 Hillview Dr.,1 (11) 500 555-0170,9/25/07,1-2 Miles,Australia,New South Wales,2264,Silverwater
19427,AW00019427,Troy,Lopez,Troy Lopez,3/12/74,S,M,troy18@adventure-works.com,30000,0,0,Bachelors,Clerical,1,0,"5711, rue Basse-du-Rocher",1 (11) 500 555-0113,4/1/07,0-1 Miles,France,Seine (Paris),75008,Paris
16057,AW00016057,Michele,Gomez,Michele Gomez,12/14/59,M,F,michele36@adventure-works.com,10000,2,0,Partial College,Manual,1,1,Zur Lindung 787,1 (11) 500 555-0133,8/16/07,1-2 Miles,Germany,Nordrhein-Westfalen,80074,München
13437,AW00013437,Ethan,Flores,Ethan Flores,8/26/67,M,M,ethan9@adventure-works.com,90000,0,0,Partial College,Professional,1,1,8373 Endriss,836-555-0132,9/3/07,10+ Miles,United States,Washington,98366,Port Orchard
24081,AW00024081,Alexis,Hughes,Alexis Hughes,2/1/33,M,F,alexis34@adventure-works.com,10000,4,0,High School,Manual,0,2,"4201, rue Lauriston",1 (11) 500 555-0168,3/10/08,0-1 Miles,France,Moselle,57000,Metz
25697,AW00025697,Miguel,Harris,Miguel Harris,4/11/60,S,M,miguel13@adventure-works.com,10000,2,0,Partial College,Manual,0,0,"511, rue Villedo",1 (11) 500 555-0130,8/8/07,0-1 Miles,France,Nord,59140,Dunkerque
27502,AW00027502,Tyler,Thompson,Tyler Thompson,10/28/79,S,M,tyler7@adventure-works.com,40000,0,0,Partial College,Skilled Manual,1,2,4144 Tahoe Place,191-555-0138,8/3/07,5-10 Miles,Canada,British Columbia,V3L 1H4,Westminster
17110,AW00017110,Meredith,Garcia,Meredith Garcia,11/4/75,S,F,meredith14@adventure-works.com,30000,0,0,High School,Manual,1,1,1579 Plaza Rosa,1 (11) 500 555-0125,10/2/07,2-5 Miles,United Kingdom,England,OX16 8RS,Oxon
13226,AW00013226,Jenna,Mitchell,Jenna Mitchell,3/13/51,M,F,jenna10@adventure-works.com,60000,5,0,Bachelors,Management,1,3,491 Heights Avenue,554-555-0179,7/7/06,10+ Miles,United States,Washington,99362,Walla Walla
28647,AW00028647,Hannah,Foster,Hannah Foster,9/9/76,M,F,hannah37@adventure-works.com,50000,1,1,Graduate Degree,Skilled Manual,1,0,3754 Olive Ave.,950-555-0181,2/20/06,1-2 Miles,Canada,British Columbia,V6B 3P7,Port Hammond
11376,AW00011376,Lance,Vazquez,Lance Vazquez,6/10/47,S,M,lance14@adventure-works.com,40000,1,0,Graduate Degree,Clerical,1,0,9159 Shepberry Court,1 (11) 500 555-0112,4/17/08,0-1 Miles,United Kingdom,England,L4 4HB,Liverpool
